,link,name,price,mrp_price,color
25,https://www.nike.com/in/t/air-max-flyknit-racer-shoes-Q9lN71/DJ6106-001,Nike Air Max Flyknit Racer,14 247.00,₹ 14 995.00,3 Colours
26,https://www.nike.com/in/t/hyperdunk-ep-basketball-shoes-wt7C4S/DZ2775-151,Nike Hyperdunk X EP,11 297.00,₹ 11 895.00,1 Colour
27,https://www.nike.com/in/t/air-zoom-alphafly-next-2-road-racing-shoes-MRSlSl/DV9422-300,Nike Air Zoom Alphafly NEXT% 2,21 657.00,₹ 22 795.00,1 Colour
28,https://www.nike.com/in/t/air-force-1-mid-qs-shoes-Bxtdl9/DQ3505-100,Nike Air Force 1 Mid QS,13 297.00,₹ 13 995.00,1 Colour
29,https://www.nike.com/in/t/sb-zoom-blazer-mid-ek-skate-shoes-rK3Bmc/DO9399-100,Nike SB Zoom Blazer Mid EK,8 067.00,₹ 8 495.00,1 Colour
30,https://www.nike.com/in/t/sb-zoom-blazer-mid-prm-skate-shoes-LJH748/DR9087-700,Nike SB Zoom Blazer Mid PRM,8 257.00,₹ 8 695.00,1 Colour
31,https://www.nike.com/in/t/air-force-1-07-lv8-next-nature-shoes-X2nrqR/DM0117-100,Nike Air Force 1 '07 LV8 Next Nature,8 737.00,₹ 9 195.00,1 Colour
32,https://www.nike.com/in/t/air-jordan-1-mid-se-craft-shoes-RmP7J6/DM9652-100,Air Jordan 1 Mid SE Craft,11 297.00,₹ 11 895.00,1 Colour
33,https://www.nike.com/in/t/air-max-plus-shoes-04K813/DM0032-800,Nike Air Max Plus,14 247.00,₹ 14 995.00,1 Colour
34,https://www.nike.com/in/t/kd15-ep-basketball-shoes-JLhM3T/DO9827-900,KD15 EP,14 247.00,₹ 14 995.00,2 Colours
35,https://www.nike.com/in/t/air-jordan-5-retro-shoes-CHQqM4/DD0587-141,Air Jordan 5 Retro,17 477.00,₹ 18 395.00,1 Colour
36,https://www.nike.com/in/t/invincible-run-2-road-running-shoes-xrCMmF/DH5425-100,Nike Invincible Run 2,16 147.00,₹ 16 995.00,2 Colours
37,https://www.nike.com/in/t/invincible-run-2-road-running-shoes-QZ3ql0/DV2149-800,Nike Invincible Run 2,16 147.00,₹ 16 995.00,1 Colour
38,https://www.nike.com/in/t/air-force-1-07-vintage-shoes-KqLR70/DO9785-100,Nike Air Force 1 '07 Premium Vintage,12 157.00,₹ 12 795.00,2 Colours
39,https://www.nike.com/in/t/air-zoom-tempo-next-road-running-shoes-chNfdw/CI9923-701,Nike Air Zoom Tempo NEXT%,16 717.00,₹ 17 595.00,2 Colours
40,https://www.nike.com/in/t/go-flyease-easy-on-off-shoes-3svRCL/DR5540-001,Nike Go FlyEase,11 297.00,₹ 11 895.00,1 Colour
41,https://www.nike.com/in/t/acg-air-deschutz-se-shoes-ccJkJB/DR1020-400,Nike ACG Air Deschutz+ SE,6 737.00,₹ 7 095.00,1 Colour
42,https://www.nike.com/in/t/sb-blazer-court-mid-prm-skate-shoes-wMFsMv/DQ5132-444,Nike SB Blazer Court Mid PRM,7 117.00,₹ 7 495.00,1 Colour
